PlayerID,Level,Completed
1,1,0
1,2,0
1,3,1
1,4,0
1,5,1
1,6,1
1,7,0
1,8,1
1,9,1
1,10,1
1,11,0
1,12,1
1,13,1
1,14,1
1,15,0
1,16,0
1,17,1
1,18,0
2,1,1
2,2,1
2,3,1
2,4,0
2,5,0
2,6,0
2,7,1
2,8,0
2,9,1
2,10,1
2,11,1
2,12,1
2,13,1
2,14,0
2,15,0
2,16,0
2,17,0
2,18,1
2,19,1
2,20,1
2,21,0
2,22,1
2,23,1
2,24,1
2,25,1
2,26,0
2,27,0
2,28,1
2,29,1
2,30,1
2,31,0
2,32,0
2,33,1
2,34,0
2,35,1
2,36,0
2,37,1
3,1,1
3,2,0
3,3,1
3,4,1
4,1,0
4,2,0
4,3,0
4,4,0
4,5,1
4,6,1
4,7,0
4,8,0
4,9,0
4,10,0
4,11,1
4,12,0
4,13,1
4,14,1
5,1,0
5,2,0
5,3,1
5,4,1
5,5,0
5,6,1
5,7,1
5,8,1
5,9,1
5,10,1
5,11,0
5,12,0
5,13,0
5,14,1
5,15,1
5,16,1
6,1,0
6,2,0
6,3,0
6,4,0
6,5,1
6,6,1
6,7,0
6,8,0
6,9,1
6,10,0
6,11,1
6,12,0
6,13,0
6,14,0
6,15,1
6,16,0
6,17,0
6,18,0
6,19,1
7,1,1
7,2,1
7,3,1
7,4,1
7,5,0
7,6,0
7,7,0
7,8,0
7,9,1
7,10,0
7,11,1
7,12,0
8,1,0
8,2,0
8,3,0
8,4,0
8,5,0
8,6,1
8,7,1
8,8,0
8,9,1
8,10,1
8,11,0
8,12,0
8,13,0
8,14,0
8,15,1
8,16,0
8,17,1
8,18,1
8,19,1
8,20,1
8,21,0
8,22,1
8,23,0
8,24,0
8,25,0
8,26,0
8,27,0
8,28,0
8,29,0
8,30,0
8,31,1
8,32,1
8,33,1
8,34,1
8,35,1
8,36,1
8,37,0
8,38,0
8,39,1
8,40,0
8,41,1
8,42,1
8,43,1
8,44,1
8,45,1
9,1,1
9,2,0
9,3,1
9,4,1
10,1,1
10,2,0
10,3,0
10,4,0
10,5,1
10,6,1
10,7,0
10,8,0
11,1,1
11,2,0
11,3,0
11,4,1
11,5,1
11,6,1
11,7,1
11,8,1
11,9,1
11,10,0
11,11,0
11,12,1
11,13,1
11,14,1
11,15,0
11,16,1
11,17,1
11,18,0
11,19,1
11,20,1
11,21,1
11,22,0
11,23,1
11,24,0
11,25,1
11,26,1
11,27,1
11,28,1
11,29,0
12,1,1
12,2,0
12,3,1
12,4,1
12,5,1
12,6,1
12,7,1
12,8,1
13,1,0
13,2,0
13,3,1
13,4,0
13,5,0
13,6,0
13,7,0
13,8,0
13,9,0
13,10,1
13,11,1
13,12,0
13,13,1
13,14,1
13,15,1
13,16,0
13,17,1
14,1,1
14,2,0
14,3,1
14,4,1
14,5,1
15,1,1
15,2,1
15,3,0
15,4,0
15,5,0
15,6,0
15,7,1
15,8,1
15,9,0
15,10,0
15,11,1
15,12,0
15,13,0
16,1,1
16,2,0
16,3,1
16,4,0
16,5,1
16,6,1
16,7,0
16,8,1
16,9,1
16,10,0
16,11,0
16,12,0
16,13,1
16,14,1
16,15,0
16,16,0
16,17,0
16,18,0
16,19,0
16,20,0
16,21,1
16,22,1
16,23,1
16,24,1
16,25,1
16,26,0
16,27,1
16,28,1
16,29,1
16,30,0
16,31,0
16,32,0
16,33,1
16,34,1
16,35,0
16,36,0
16,37,0
16,38,0
16,39,0
16,40,1
16,41,1
16,42,1
16,43,0
16,44,1
16,45,1
17,1,1
17,2,0
17,3,0
17,4,0
17,5,1
17,6,0
17,7,1
17,8,0
17,9,1
17,10,0
17,11,0
17,12,0
17,13,1
17,14,0
17,15,1
17,16,0
17,17,0
17,18,1
17,19,0
17,20,0
17,21,0
17,22,1
17,23,0
17,24,1
17,25,0
17,26,1
17,27,0
17,28,0
17,29,1
17,30,1
17,31,1
17,32,0
17,33,1
17,34,0
17,35,0
17,36,1
17,37,1
17,38,0
17,39,1
17,40,0
17,41,1
17,42,1
17,43,1
17,44,0
17,45,0
18,1,0
18,2,1
18,3,0
18,4,1
18,5,1
18,6,0
18,7,1
18,8,0
18,9,0
18,10,1
18,11,0
18,12,1
18,13,0
18,14,0
19,1,0
19,2,0
19,3,0
19,4,1
19,5,0
19,6,0
19,7,1
19,8,0
19,9,0
19,10,1
19,11,1
19,12,0
19,13,0
19,14,1
19,15,1
19,16,1
19,17,0
19,18,1
19,19,1
19,20,1
19,21,0
19,22,1
19,23,0
19,24,0
19,25,1
19,26,0
19,27,1
19,28,0
19,29,0
19,30,1
19,31,1
19,32,0
19,33,1
19,34,0
19,35,1
19,36,1
19,37,0
19,38,0
19,39,0
19,40,1
19,41,1
19,42,1
20,1,1
20,2,1
20,3,1
20,4,0
20,5,0
20,6,0
20,7,1
20,8,1
20,9,1
20,10,0
20,11,1
20,12,1
20,13,1
20,14,0
20,15,1
20,16,0
20,17,0
20,18,0
20,19,0
20,20,1
20,21,1
20,22,1
20,23,1
20,24,1
20,25,1
20,26,0
20,27,1
20,28,0
20,29,0
20,30,1
20,31,0
20,32,1
20,33,1
20,34,0
20,35,0
20,36,1
21,1,1
21,2,0
21,3,0
21,4,0
21,5,0
21,6,1
21,7,0
21,8,0
21,9,1
21,10,0
22,1,0
22,2,1
22,3,0
22,4,1
22,5,0
22,6,0
22,7,1
22,8,0
22,9,1
22,10,0
22,11,0
22,12,1
22,13,1
22,14,1
22,15,1
22,16,0
22,17,1
22,18,0
22,19,1
22,20,0
22,21,0
22,22,1
22,23,0
22,24,0
22,25,1
22,26,0
22,27,1
22,28,1
22,29,0
22,30,1
22,31,1
22,32,0
22,33,0
22,34,0
22,35,0
22,36,1
22,37,1
22,38,0
22,39,1
22,40,0
22,41,0
22,42,1
23,1,1
23,2,1
23,3,0
23,4,0
23,5,0
23,6,0
23,7,1
23,8,0
23,9,0
23,10,1
23,11,0
23,12,1
23,13,1
23,14,1
23,15,1
23,16,0
23,17,1
23,18,0
23,19,0
23,20,1
23,21,0
23,22,1
23,23,1
23,24,0
23,25,1
23,26,1
23,27,1
23,28,1
23,29,0
23,30,0
23,31,1
23,32,0
23,33,1
23,34,1
23,35,0
23,36,1
23,37,0
23,38,0
23,39,1
23,40,1
23,41,0
23,42,0
23,43,1
23,44,0
23,45,0
23,46,1
23,47,0
23,48,1
23,49,1
24,1,0
24,2,1
24,3,0
24,4,1
24,5,1
25,1,0
25,2,1
25,3,0
25,4,1
25,5,0
25,6,1
25,7,0
25,8,0
25,9,0
25,10,0
25,11,0
25,12,1
25,13,1
25,14,1
25,15,0
25,16,0
25,17,1
25,18,0
25,19,1
25,20,1
25,21,1
25,22,0
25,23,0
25,24,0
25,25,1
25,26,0
25,27,0
25,28,0
25,29,0
25,30,1
25,31,1
25,32,1
25,33,0
25,34,0
25,35,1
25,36,1
25,37,1
25,38,1
25,39,0
25,40,0
25,41,0
25,42,0
25,43,1
25,44,1
25,45,0
26,1,1
26,2,1
26,3,0
26,4,0
26,5,1
26,6,1
26,7,0
26,8,0
26,9,0
26,10,0
26,11,1
26,12,0
26,13,1
26,14,1
26,15,1
26,16,1
26,17,1
26,18,1
26,19,1
26,20,1
26,21,0
26,22,0
26,23,1
27,1,0
27,2,0
27,3,1
27,4,0
27,5,1
27,6,1
27,7,1
27,8,0
27,9,1
27,10,1
27,11,1
27,12,1
27,13,1
27,14,1
27,15,0
27,16,0
27,17,0
27,18,0
27,19,0
27,20,0
27,21,0
27,22,1
27,23,0
27,24,1
27,25,0
27,26,1
27,27,0
27,28,0
27,29,1
28,1,0
28,2,1
28,3,0
28,4,0
28,5,1
28,6,1
28,7,0
28,8,1
28,9,1
29,1,0
29,2,0
29,3,1
29,4,0
29,5,1
29,6,0
29,7,0
29,8,0
29,9,0
29,10,0
29,11,0
29,12,0
29,13,0
30,1,0
30,2,1
30,3,1
30,4,1
30,5,1
30,6,1
30,7,0
30,8,0
30,9,0
30,10,0
30,11,0
30,12,1
30,13,1
30,14,1
30,15,0
30,16,1
30,17,1
30,18,1
30,19,1
30,20,1
30,21,1
30,22,0
30,23,1
30,24,1
30,25,1
30,26,0
30,27,1
30,28,0
30,29,0
30,30,1
30,31,1
30,32,1
30,33,0
30,34,1
30,35,1
30,36,0
30,37,0
31,1,1
31,2,1
31,3,0
31,4,0
31,5,1
31,6,1
31,7,0
31,8,1
31,9,0
31,10,0
31,11,0
31,12,0
31,13,1
31,14,1
31,15,1
31,16,0
31,17,1
31,18,1
31,19,1
31,20,1
31,21,1
31,22,0
31,23,0
31,24,1
31,25,1
31,26,1
31,27,0
31,28,1
31,29,1
31,30,1
31,31,0
31,32,1
31,33,1
31,34,0
31,35,0
31,36,1
31,37,1
31,38,1
31,39,0
31,40,0
31,41,0
31,42,0
31,43,1
31,44,1
31,45,0
31,46,0
31,47,1
31,48,1
32,1,0
32,2,0
32,3,0
32,4,1
32,5,0
32,6,0
32,7,0
32,8,0
32,9,0
32,10,0
32,11,0
32,12,0
33,1,0
33,2,0
33,3,0
33,4,1
33,5,0
33,6,1
33,7,0
33,8,1
33,9,0
33,10,1
33,11,1
33,12,0
33,13,0
33,14,1
33,15,1
33,16,1
33,17,1
33,18,0
33,19,0
33,20,0
33,21,0
33,22,1
33,23,0
33,24,0
33,25,1
33,26,1
33,27,0
33,28,1
33,29,1
33,30,0
33,31,1
33,32,1
33,33,1
33,34,0
33,35,0
33,36,1
33,37,1
33,38,1
33,39,0
33,40,1
33,41,0
33,42,0
33,43,0
33,44,1
33,45,0
34,1,1
34,2,0
34,3,0
34,4,1
34,5,1
34,6,0
34,7,1
34,8,1
34,9,1
35,1,1
35,2,0
35,3,0
35,4,1
35,5,0
35,6,0
35,7,0
35,8,0
35,9,1
35,10,1
35,11,1
35,12,0
35,13,1
35,14,1
35,15,0
35,16,1
35,17,1
35,18,1
35,19,1
35,20,1
35,21,1
35,22,0
35,23,0
35,24,1
35,25,0
35,26,0
35,27,0
35,28,1
35,29,1
35,30,0
35,31,1
35,32,0
35,33,1
35,34,1
35,35,1
35,36,0
35,37,1
35,38,1
35,39,0
35,40,0
35,41,1
35,42,0
36,1,1
36,2,1
36,3,0
36,4,0
36,5,1
36,6,0
36,7,0
36,8,1
36,9,1
36,10,1
36,11,0
36,12,0
36,13,0
36,14,0
36,15,0
36,16,1
36,17,0
36,18,1
36,19,1
36,20,1
36,21,0
36,22,0
36,23,0
36,24,0
36,25,1
36,26,0
36,27,0
36,28,0
36,29,0
36,30,0
36,31,0
36,32,0
36,33,0
36,34,0
36,35,1
36,36,1
